,reviews
882,"✅ Trip Verified |  Johannesburg to London. At Johannesburg used BA galleries lounge which was fine if a little busy. Plane boarded on time, very hot due to lack of auxiliary power unit, given aircraft at JNB all day, perhaps this could have been addressed. After take off the crew dispensed with pre dinner drinks and went straight for meal. Portions of starter very small, I was given someone else’s by mistake which was then taken away and given to him. I thought that originally the idea of the new Club World meal involved a trolley service but no sign of that. Main was good (beef), dessert was cheese, very small basic selection. Then bed, gap in seat made lie flat less comfortable. Breakfast was ok. Delay with baggage due to another aircraft technical issue (there seemed to be a few of these). Arrivals lounge was good. Overall an average experience."
883,"✅ Trip Verified | Edinburgh to Bangalore via Heathrow. Rude staff, poor service, missing baggage, poor entertainment system. I spilled my drink and the attitude of the staff was brutal. I apologised for my clumsiness, but I was made to feel like I had deliberately done some shameful act in public and staff would not want to have anything to do with me. I asked for tissues and the answer was, get it from the toilet. The staff did not even have the courtesy to ask me if I needed another drink once I cleaned myself up. The crew were also extremely noisy. Chatting and laughing loudly at the pantry place for the entire duration. And then - while boarding at Edinburgh, they offered to check in my second bag for free because cabin was full. The staff wrote Bangalore via Heathrow, but my bag was not loaded to connecting flight. 4 hours gap mind you. "
884,"✅ Trip Verified |  
Berlin to Johannesburg via London. The short haul flight between Berlin and London was oKay, they don't include drinks or snacks anymore on short distance flights and prices onboard for them are compared to some low-cost carriers high. Because of an engine problem, the flights from LHR to JNB was delayed by 2:45h. British Airways gave £5 vouchers out to compensate for snacks and drinks. Inside the A380, the IFE boxes under the window seats take a big part of the available leg space."
885,✅ Trip Verified | New York JFK to London Heathrow with British Airways. An extremely average flight. Nothing stood out as good and nothing stood out as bad. The flight was smooth and felt quite short. The cabin crew was helpful and everything was comfortable. The inflight entertainment needed some work.
886,"Not Verified |  I've always favoured British Airways and will always try and choose to fly with them, which is mostly decided by flight times for my business travel. I have always found it better value over the cheaper airlines via their additonal benefits like early check-in and on-flight catering, for economy. However BA have stripped both the above perks. I now struggle to see the value, and put their offering almost beside that of the likes of Easyjet, yet you pay almost double. Then today I flew back from Denmark with SAS, and it was amazing and made BA look cheap. Not only do you get a good meal on board, you get free drink, can charge your electronics and get wifi (for only 2.9 Euros!). Outstanding."
887,"✅ Trip Verified | New York to London via Geneva with British Airways. The plane was late, not an issue. But some flight attendants were not really friendly in their manner, they seemed in a rush to finish the service and then chill loudly. On a 7 hour flight, they served us the food 40mins after departure, then 20mins at the most after started clearing, we were not even close to finish eating. Then 5 mins after another staff member just came by an took most of the food we didnt even had time to tell him not to. This was really poor service. Especially to realise that because the aircraft was only half booked, they were actually rushing us to be able to stop serving and take a nap comfortably on the raws of empty seats next to us. Thats what you call bad customer service! ps: i was charged 100$ for a luggage, after buying my ticket 350$"
888,"✅ Trip Verified | A380 boarding is always a nightmare, but it was complicated on this occasion by multiple pax in wheelchairs and a delayed show-up by the pilots. Fortunately, we still managed to take off more or less on time. The cabin crew responsible for our side of the First cabin was personable but lacked experience. The food served for dinner was a mixture of good and mediocre. Warm salmon on ice cold salad is never a pleasant experience. The seats in First are reasonably comfortable although they lack the privacy of competitors' premium cabin. The duvet was made redundant because of the typically overheated cabin. One of the First toilets was out of action so we had to make use of the Club World loos upstairs. It would have been helpful if cabin crew had apologised for the inconvenience for the lack of the convenience, but no comment was made. The IFE was passable and the sound quality good if one's own noise cancelling headphones are used. WiFi was available but I didn't make use of it. Breakfast was unremarkable and I wish bread rather than pastries was offered. Deplaning was delayed by half-an-hour because of early morning congestion at T5 and the lack of a stand. Overall, a reasonable flight but not first class."
889,"✅ Trip Verified | 
The 2-3-2 seating in the front section of Club World on the upper deck feels marginally less cramped than 2-4-2, but it's showing its age in contrast to other carriers. A full cabin also means queues for the two loos, although they're a lot more spacious than in First. The drinks and dinner service took a good couple of hours, but the revamped Club World food is definitely an improvement. The fish option for the main course was some of the best food I've had in the air. The White Company bedding does little to cushion the rather hard seats. Cabin crew were generally good and the CSM was particularly visible during the flight. Breakfast was improved with the option to pre-select items. Arrival was ahead of schedule."
890,"✅ Trip Verified |  London to Johannesburg. Smooth check in via Club World desks. Fast track security was fast and got to lounge quickly. Lounge was ok, food a little better and staff seemed more attentive. We were able to use the spa which was nice. Showers were fine with no queues. Flight left on time. My first experience of the new Club World catering which seemed to go well Slept for 5 hours, lie flat on the newer aircraft is better than the older 777’s which (as my son says) have a gap between stool and seat sometimes. Crew on this sector were good and the FA serving our area was experienced and it showed. The CSD seemed to go through the motions only. Arrival fine and baggage was first on belt. A good flight"
891,"✅ Trip Verified |  BA836 on 19 Jan. Excellent short flight from Heathrow to Dublin in Club Europe. Cabin Crew were warm and efficient and the overall service excellent. The Club Europe catering was excellent, I had pre-ordered a gluten-free meal which was the same as one of the standard passenger meals but with gluten-free bread. The main course was beef ratatouille with a Do&Co dessert pot. This was the best inflight meal I've had on a short haul flight. On arrival in Dublin the ground service from Swissport was poor, it took some time for steps to meet the aircraft and then even longer (25 minutes) for ground staff to open the door to allow arriving passengers into the terminal."
892,"✅ Trip Verified |  Whatever happened to the World's Favourite Airline? Returning from Bermuda to Gatwick we were presented with a worn-out Boeing 777. My seat table was broken with bits of seat plastic hanging off. I had to try and balance the seat tray on my knees so that the dinner tray could be kept flat, it didn't work, tray ended up on the floor with drinks and food. Reported this to steward who was clearly upset with my complaint and told me 'I'll put it in the book'. No apology, no attempt to explain, just irritation from him. The food was awful, neither my wife or I could finish it. It also seemed incomplete with no cheese and biscuits, and nothing to go on the salad. My wife's entertainment screen, didn't work, the passenger next to me screen didn't work and mine only worked intermittently. It look liked something from the Arc with the grid allowing the touch sensitivity clearly visible. I believe the 777s out of Gatwick are being updated, can't come a moment too soon. We purchased Premium Economy tickets for the this flight, we didn't get a premium service. Initially I was going to buy business tickets but the price was ridiculous so I'm glad I didn't. My frustration with BA grows every year, we only fly with them now when we have too."
893,✅ Trip Verified |  Kuala Lumpur to Miami via London in business class with British Airways. The business class seats were small for business class and pretty old. The flight entertainment system are outdated. I am not sure how they do the selection but they could do better with the crew selection. Food choices were limited and mine was not up to par for business class. Overall BA have to do better to be on top of their game. Planes has to be changed.
894,"✅ Trip Verified |  Zurich to Heathrow. Last year they started boarding flights by groups.  A week or two after the free beverages and snack service disappeared, and the final nail in the coffin was pay to choose seating. I decided no BA anymore. I moved away from BA, the only issue I have that now I have to maintain frequent flyer status with two or three separate airlines. The last flight I took BA to use my Avios points and I literally flew free, but never to use BA again."
895,✅ Trip Verified |  Miami to London. The breakfast served just before landing was terrible. A terrible croissant with some cream cheese with onions and a breakfast fruit bar. It was wrapped in cellophane. Hardly anyone ate it what a waste.
896,"✅ Trip Verified | Copenhagen to Amsterdam via London Heathrow with British Airways. There was problems at check in and a lot of people had to run to make the flight. But the attitude and welcoming hospitality of the crew made me forget that and I enjoyed the flight. The seats were nice and comfortable and the aircraft fresh. During the second flight from LHR to AMS, the expectations from the first flight were fulfilled and we had a captain that knew most of the passengers were frequent fliers and made jokes only frequent fliers would understand. Like how the taxi from Polderban is almost as long as the flight itself."
897,"✅ Trip Verified |  Antigua to Gatwick. Apparently it is necessary to pay extra to get a decent seat by priority booking despite having paid the full cost of world traveler plus. We checked in as soon as the online check in was available to find that only 4 seats (for the 4 of us) remained unbooked. We had to take 2 seats on the front row where the seats had no under seat storage and were as narrow as the economy seats, and 2 on the back row where we were constantly bothered by the adjacent toilets. Only 1 loo each side between the economy and economy plus meant that there were always queues of people leaning against us. Cabin pressure was uncomfortably low, overnight temperature was stifling hot and few people got any sleep at all. Breakfast was a hard cold half sandwich with a hurried cup of tea or coffee. Impossible to get any drinks or refreshments between the service rounds. Tatty seat covers, broken foot rest, malfunctioning entertainment, broken tables requiring us to hold our food and drink between our knees. When asked for help the stewardess told us she didn't have a screw driver to fix these things and it was an old plane with lots of this type of issue."
898,"✅ Trip Verified | I understand completely why there is air rage in the skies when companies such as BOAC go out of their way to make the travel experience an stressful and unpleasant as is humanly possible. I paid $813 to fly r/t LAX-BUH and yet they want an extra $150 to have a desirable seat. I understand if you check-in 24 hours before departure you receive a seat from those available, but why is it they assign you the worst seat available when betters are there? In my case, they assigned me a middle seat on a 787 when both of the adjacent aisle seats are available to assign. It is baffling. The ground crew and the inflight staff are excellent but can do little with the oppressive business decisions their executives make - everything comes down to make every penny they can. And why am I flying BOAC? They owed me £25 from the last flight b/c the inflight entertainment system was inop for 1/2 the cabin and so we all had to sit in the dark with nothing to do for a twelve-hour flight. On top of that, their seats have so little padding and cushion that only the plumpest can sit in their seats longer that 15"". For normal-sized adults, it is as agonising as the rack must've been. And of course you only get compensation by patronising them again. Now I know: ever a free ticket on BOAC is overpriced."
899,"✅ Trip Verified | London to Miami. Worst long haul business class. That annoying divider, the ridiculous fold down footstool and the worn out seats! The service is non-existent, unless they are serving you the meal. If you want a snack or drink get out your seat and hunt down a cabin member, they don’t ask you if you need anything between meals. The toilets are dirty and basic. I’m a Gold Member but giving it up to fly other more updated airlines. They’ve crammed as many business class seats as possible at the expense of comfort and it’s not like they’re cheap."
900,"✅ Trip Verified | I used avios point to upgrade from economy to premium economy. They get a wider seat and a few more inches leg room. Boarding was straight forward and the premium cabin had plenty of overhead locker space, water and juice was served before takeoff but no champagne. The staff were well turned out but rushed, as the premium cabin was served by the economy cabin crew. A hot meal was served an hour after take off, which was a good piece of beef with stewed vegetables, chocolate mousse and biscuits & cheese. Quality red and white wine was served. The inflight movie selection was OK. A light snack of biscuits and crisps was served before landing along with coffee & tea. Getting off the planes was slowed by immigration staff coming onto the plane to inspect all passports. Not my best flight."
901,"✅ Trip Verified | Boarding was fairly quick, the well turned out staff quickly got people on board and bags stored. I was lucky that no one was sitting next me, so I had some more room. The pre take off drink was water or orange juice.  Within an hour of take off a hot meal of beef - salad was served with a good dessert. Wine selection was very American with jug wines. The movie selection was OK. The PE seats are more comfortable than economy, the extra 4 inches of width make a huge difference. The 2nd meal on this flight was a snack of crisps and cookies. "
902,"✅ Trip Verified |  Bangalore to London. Ground experience not great - at LHR automated bag drop didn't work and it wasn't clear why; slow-to-react assistance eventually came and identified travel visa to India needed to be validated. At BLR, no online check-in available and slow process. Plane decor extremely run down and shabby, various pieces of the interior trim (bulkheads etc) rattling  and latches for bassinet shelves not locking. Row 12 so bulkhead seat and legroom excellent, however this comes with the hassle of not being able to leave anything on the floor for takeoff and landing; the stowage racks are never big enough to hold the blanket and pillow provided. Seat itself could have more width (I kept bumping the VOD control and I'm quite slim), recline limited and footrest could extend more. No USB power in seat which seems crazy in this day and age. VOD itself is atrocious; tiny screen (folding out of armrest on bulkhead seats), low resolution, visible gridlines and very little choice (hardly the latest movies). To top it off, on outbound leg the VOD stopped working altogether and resisted many resets. Customer service forms were handed out so I await the outcome of that. Food volume OK, quality poor (scrambled eggs in breakfast smelled terrible!), plenty of drinks on outbound leg but not inbound, cabin staff seemed indifferent on inbound leg. Insufficient lavatories for Premium Economy and Economy."
903,"✅ Trip Verified |  Barcelona to New York via London. I was in Barcelona for just four days so had one small bag which they asked me to check. My flight from Barcelona to London was delayed causing  passengers to miss their connections. When I finally got a flight, we taxied for an hour and then were told we needed to return to the gate as the luggage was loaded incorrectly. It took me nearly 24 hours to travel from Barcelona to JFK.  When I arrived, my luggage wasn't there so I filed a claim. I called and emailed every day and they couldn't find it even though I had a tag number and and documentation. Eight days later, they finally contacted me and gave me a six hour window for bag delivery. The final insult is that I was expected to file a claim for my missing personal property within seven days. As a result, they have offered me no compensation for damages. "
904,"✅ Trip Verified |  Gatwick to Fort Lauderdale. Charging to choose seats, even within 24h prior take off, is outrageous. So if someone decides to carry only hand luggage one cannot choose a seat without paying extra charges?"
905,"✅ Trip Verified |  We recently flew from London to Bologna, the aircraft was full and they requested that people place their cabin bags into the hold with checked in luggage to save space. So we did, when we arrived my carry on bag which has accompanied me on many flights over the past 3 years was damaged and beyond repair or use for our further journeys. So I approached the damaged/lost baggage area, lodged a claim and provided all the evidence, explained that we were continuing to travel and needed to replace the bag asap. I was advised by the representatives to ring BA service line. Made the call spoke about replacing the bag and what was reasonable and did that and submitted a claim. Well it is still going, despite replacing the bag with a cheaper version the total cost has not been refunded. They instead asked me to produce receipts from 3 years ago and then offered me half the money due to depreciation. Despite a good flight etc have this ongoing angst of the money they refused to refund."
906,"✅ Trip Verified |  
Venice to London City. Really we had a great experience with British Airways. We enjoyed very much flying with British Airways. Lovely staff and great service."
907,"✅ Trip Verified |  San Francisco to London. Terrible service and food. Cramped uncomfortable seats and terrible entertainment, in one of my flights it wasn’t working. The crew couldn’t care less, I will not fly with them again !!!"
908,"✅ Trip Verified |  Heathrow to Vancouver. The seats booked not given, took 3 months to respond to a complaint after submitting multiple messages to them for an update. A dirty plane, fantastic front line staff I would never fly BA again."
909,"✅ Trip Verified |  London to Bucharest. First class ground staff but in the air it's quite a disappointment. The basic economy seats have so little cushion it is agony to sit for longer than 15"" in them. And £1.95 for a can of coca-cola? "
910,"✅ Trip Verified |  I forgot I had purchased a hand baggage only fare. At the airport I was charged more than 60 euros for my bag which came out as almost as much as the fare itself cost. The staff at check-in could not have been less helpful. The whole experience was of a bad low-cost airline. Boarding process saw me in Category 5 having to board last, not so much as a glass of water is offered. The seats have very little legroom and just one toilet for the A319 economy cabin. "
911,"✅ Trip Verified |  When the passenger in front reclines his/her seat, it makes it very difficult to get in and out of one's seat. As the arm rests do not go all the way up, the middle/window seat passengers have to climb over. There is little leg room and no leg rest. The Boeing 777 IFE screen is smaller than the ones on the British Airway's 747-400s and could do with an upgrade. The saving grace on this flight was the excellent service from a dedicated and very professional flight crew."
912,"✅ Trip Verified |  Boston to London. World Traveler seats. Nice headrest. Legroom okay but overall very cramped especially when the passenger in front reclines his/her seat. The seat back was almost in my lap making it impossible to read British Airways' magazine or even use my iPad. We ordered special meals (Halal and low sodium). The Muslim meal (chicken tikka masala with naan) was restaurant quality. Flavorful and not spicy hot. The gulab jamun dessert was also restaurant quality and just like mom's. The low sodium meal - herb roasted chicken, tomato rice, petite broccoli, diced red pepper and carrots was delicious. Dessert consisted of fresh blueberries and blackberries. The IFE was very good. Bright and clear LED screens with a good selection of entertainment and movies in several languages. "
913,"✅ Trip Verified |  London to Athens. We were fortunate to get exit row seats in advance. They were spacious with plenty of legroom. They had more width than the cramped Boeing 747-400 that we had just flown in on. We each had a carry on; however, during the transit process, British Airways ground staff made us check one of our carry on bags.  I have no idea what criteria they used to select passengers to check their carry on bags. Bare bones service, no meals (which is okay), no complimentary soft drinks or water. Bottled water was available for purchase. In hindsight, we would have been better off flying on Aegean Airlines."
914,"✅ Trip Verified |  London to Johannesburg. So impressed by the lady that checked us in. Something went wrong with my booking, I was supposed to fly at 18:10 (with my boyfriend) back home to South Africa after our visit in UK, but somehow my ticket was booked at 21:10. We didn’t even notice that until she had brought it up at the check-in. I was so shocked by the fact that I would be traveling all by myself (It’s my first trip overseas). She was so willing to help and she fixed it within a matter of 1 minute. We obviously thought that we would not be able to sit next to each other. With grateful hearts we were checking in our bags. When she gave us our boarding passes she mentioned that we have the best seats on the aircraft! How awesome is that! Thank you British Airways and their helpful staff."
915,"✅ Trip Verified |  Newark to Bangalore return via London on BA premium economy (World Traveler Plus). I paid about 40% more for premium economy (about $600 extra) so approximately $150 per leg. Was it worth it? I'd say broadly yes, though I wouldn't want to pay very much more than that and it would be harder to justify if only one leg of 6-7 hours was involved. Before Boarding: Premium economy does get a standard 2 checked bag allowance whereas economy is 1 bag though there are numerous exceptions where they allow 2 (and India to US/Canada is one of those exceptions though it isn't clear if it applies for travel originating at either end). So I am not sure if I got an extra bag or not but I did use the 2 bag allowance Boarding: You board in Zone 3 after First/Business & the oneworld elites. That is helpful as you do get dibs on the overhead storage - if it doesn't fit in premium economy you can always put it in front or behind before economy begins boarding. This means you also get off fairly quickly - which can help if you're in a hurry to get through security at Heathrow for a connecting flight or through immigration at your final destination. In Flight: There is a welcome drink for premium economy (champagne, juice, water depending on the departure time). There is also a hot towel service also. 787 cabin: The 787-9 has a nicely done premium economy cabin. 2-3-2 seating as opposed to 3-3-3 in economy. So a somewhat wider seat. Seat pitch is also decent. These are new style slimmer seats though possibly less cushioned than what you get on older seats - but seat was comfortable. The food tray comes out of the armrest and there is some seat back storage (though not much). There is a small drinks tray built into the front of the arm rest which you share with your neighbor. There is a recliner style footrest with support for the calf. You do get a noise canceling headset which is nice and a basic amenities kit with eyeshades, socks and toothpaste. The seat back screen is large and easy to use. There is no restroom in the cabin but one immediately behind in economy - so not a long walk 777 cabin: 777 has a 2-4-2 seating in premium economy (same as club world) as opposed to 3-3-3 in economy. The 777 version used on the LHR-BLR sector has a very small premium economy cabin - just 3 rows of seats. This gives it a sort of cosy feel. You do have to walk all the way through the economy section immediately behind you to get to the restroom. Economy looked pretty full on both the legs on the 777 but premium economy was not full - and I had the seat next to me vacant on both legs. That helped me stretch out for sure. The seat back screen on the old 777 is much smaller and the seats are older but possibly more cushioned than the slimmer 787 seats. Food: Nothing much here. I didn't think it was all that different from what a regular economy meal would have been. It was OK - nothing to write home about. All in all, for such a long journey, the premium economy product did offer some additional comfort along with the early boarding and baggage. Worth it on extra long haul like US to India. Bit harder to justify on shorter flights or fewer legs."
916,"✅ Trip Verified |  London to Berlin scheduled for 21st December. On approach to the airport, I got a message saying that my flight was canceled. No explanation was given. As I arrived at the airport, staff acted very confused and said their rerouting center is closed for the evening due to issues, and if I wanted to travel in the next days ahead of Christmas I should book my own travel with another airline or train company (e.g. Eurostar). My costs would  be reimbursed. The airport staff also said no further help from British Airways is available on the day to due airport issues. I felt the only way out was to rebook myself with a different airline for a hefty +300 GBP fare for a short haul flight for the next day. As it was Christmas, prices were very high. After I arrived at my destination, a lengthy exchange of messages with British Airways started, and British Airways said in the end they do not compensate costs for rerouting with a different airline (opposite to what their airport staff said on the day of cancellation). "
917,"✅ Trip Verified |  London to Mumbai. I have had my battles with the leadership at BA because they would not let me book my seat and pay with their Airmiles. Now they have finally relented and this will please many who earn Airmiles through their credit cards. This is just to illustrate that I boarded BA199 with a slightly negative mindset, a mindset which was changed quickly. Although I travelled Economy, the seat was comfortable, the service excellent, as was the food. If I have a minor quibble, the choice of films seems to have been reduced with many quite old. Is this BA's attempt to reduce costs, because it is quite obvious and detracts from the overall quality of their product. I was particularly impressed with the trouble the cabin staff took to warn us not to take any single-use plastic (e.g. water bottles, duty-free carrier bags) into the terminal where they could result in a stiff fine. Having been grumpy about several aspects of BA's service in the past, I will be writing to the leadership to thank them for the improvements."
918,✅ Trip Verified |  Athens to Los Angeles via London. Worst flight experience. I had a ticket from October travelling 1st December. 24hrs they decide to cancel the flight and give me the alternative for another flight 3 hrs later. Athens to Los Angeles via London same day. When arrive at London I realize from the announcement screen that my flight was operated. After I heard the announcement last call before departure. I checked at the BA information desk and confirm my flight (the one was cancelled) I asked them and reply: We found aircraft 12 hrs before and rescheduled flight. I send email and I had same response twice: Flight never operated or rescheduled. I think they had overbooked flight and didnt care about it.
919,"✅ Trip Verified |  Our return journey from Sydney to London, which was approximately 22 hours in duration with a stop at Singapore airport, was faced with one major issue. We flew economy class with a two year old, whose inflight entertainment headphone socket wasn’t working. Having paid £723 for our two year olds ticket, you would except the inflight entertainment to be working on such a long flight. Having complained to the cabin crew they did their best but unfortunately the socket could not be fixed. We were offered to move seats to the only 2 seats available however there were three of us so this was not practical. The cabin crew gave us some First Class goodies including a bottle of champagne for the inconvenience caused and they also said that all they could offer us in monitory terms was £25. They said they would contact BA customer services on our behalf to complain and to expect more compensation than what the crew could offer us. By the time we had got off the plane and were in baggage claim, I had already received an email from BA C/S and that they would respond within 48 hours, which they did. However, all the could offered was a £20 voucher to use on another BA flight. I replied declining this and said this was as insult to what we had originally paid for the flight and explained what the cabin crew had said. I also said I had no intention of booking any foreseeable flights with any airline therefore an eVoucher is worthless to me. There was no other alternative or any means of reasoning. The flight was basic and the seats were uncomfortable. BA also offer WiFi on the plane but when you try to use it, they charge £4.99 per hour in economy class."
920,"✅ Trip Verified | I had flown British Airways from Leeds Bradford to London Heathrow as a part of my journey back home (Thailand) on the 12th December 2018. I arrived at Leeds Bradford 3 hours early so there wasn't a queue at the check-in counter. Check-in process took less than a minute as I already done online check-in, this means I just dropped my luggage. The staff at the airport were very friendly and helpful. I passed through the security control and waited for my aircraft. Boarding process is a mess as there wasn't priority boarding (I flew economy) and no boarding groups, luckily every passenger could board through front and rear door (as the aircraft parked on a remote stand). The aircraft was old but the cabin was modern and clean. The seat was comfortable and had a good wing view. The only downside was the seat was the second to last row at the back so the seat pitch was short (luckily I was only 176m tall so this wasn't a problem). The aircraft was delayed due to slow boarding process and the weather condition, but the crew were very friendly and very helpful. The captain always announce an information for whole flight to let all passenger know the cause of delay and flight information. As the flight departed the crew started on board service. I didn't buy anything as the food option was poor, expensive and they can only be paid by credit cards. It was one hour flight so I didn't expect the top service standard. The flight arrived at London Heathrow on time despite some traffic. Overall, the flight service and crew made this flights enjoyable and to improve this the food and the boarding process should be better."
921,"Not Verified |  Gatwick to Tenerife. This aircraft either needs a refit or needs retiring! G-MEDK is by far the most uncomfortable plane I have ever been on. I paid extra for an extra leg room seat - 12A because I always feel happier without my knees under my chin for a four hour flight. I reckon it was no more than half an hour into my flight that the total lack of padding on the seat turned this flight into an ordeal. It was like sitting on concrete! I would imagine that when this aircraft was new (2005 I believe) the leather seating was quite yielding and comfortable but now with thirteen years of backsides compressing the padding, it was dreadful. I took the precaution of changing my seat for the return and sneaking on a seat pad purchased in Lanzarote which, coupled with there being no passengers next to me, made the flight in 11F a little more bearable. Staff were fine on the outward leg but a little tired by the time I returned at night ten days later. I normally travel Easyjet on this route but on this occasion, I used some Avios to make the flight less expensive. Easyjet offer two trolley runs but only 1 on these BA flights. With their diminishing attitude to customer welfare, I will not use BA on any lengthy flights as the service and comfort offered by Easyjet is, in my experience, far superior.
"
922,"✅ Trip Verified |  Booked a flight through Expedia for June 21019 from Denver to Paris via London on the promise that I could upgrade using Avios. After booking the flight and trying to upgrade, was notified that I could not upgrade the flight due to how I purchased the ticket, paid about $250 for early seat selection on both flights, after buy up to the front of the plane, was notified that my seats were changed to the back of the plane with no explanation, - but found out they gave the seats, that I paid extra for, to another party. Could request a refund, but wouldn't honor what they had sold me in the first place. They would not honor a refund either. Then I became ill and they chose not to refund my fare of $3380 plus paid for upgrades. "
923,"✅ Trip Verified |  Johannesburg to London. I had a bulkhead seat on the upper deck. The only advantage is that nobody will step over you during the night. BA has been using the same configuration of seats in business for the last 20 years, and it is time for them to step up their game if they want to keep people flying with them. The business class seat is not wider than the premium economy seat, the difference is that it goes to a full bed. There is no room or to put down a glass other then taking out the table. As it was a late flight (10pm), the crew decided not to offer pre-dinner drinks. I ordered the quick meal option in order to get more sleep. Big mistake: you only get the appetiser (tiny) and the desert (even smaller). I was still hungry and they refused to serve me my main dish as they reserved it for the crew. The trays are removed when everyone else finishes, so much for getting more sleep. The crew never came back until breakfast. That flight was a total disappointment."
924,"✅ Trip Verified | London to Kuala Lumpur. This is my first time flying with BA to Kuala Lumpur on the Dreamliner 787. Was very excited for this trip as BA has made a come back to fly to Malaysia after stopping the service for many years. I paid to seat at the first row to have a longer leg room. I absolutely regretted and disappointed for the choice. I made a complaint to the crew that my seat (30B) has sunk and I felt uncomfortable to be sitting on this seat for the next 13 hours. Crew only offered me an extra pillow to seat on it, which didn't help either. The tv screen on 30B was also not working and I didn't watch anything during the whole duration of the flight. I would recommend to totally avoid sitting on all row 30 as the seats are so close to the lavatories that you can hear toilets flusing at all time. This will be my last time flying with BA unless the aircraft is changed to perhaps the A380. I am dreading on my next return flight back to London. Crews were friendly and helpful. No fault with that."
925,✅ Trip Verified |  Los Angeles to London Heathrow. Very poor customer service. I checked in 3 hours prior to my flight departure asked  can I have aisle seat and she just said no. I asked her why and she replied that they don’t have any. In the plane there is no place for my bag and the staff said sorry sir we don’t have space and you can put that underneath your seat. They served dinner and said we don’t have any more chicken so you can have pasta. I told him I don’t like pasta and do you have any vegetarian food. He said the pasta is vegetarian. 
926,✅ Trip Verified |  Our flight from Seattle to London in November 6th was canceled due to technical problems. After waiting at the airport for 9 hours and staying in the line for 4 hours the BA associate couldn’t find us any immediate flight. They offered us a flight that would arrive in London late November 8th. It would take us 16 hours. Since the purpose of trip was to present a paper in a conference in November 8. I would have missed my presentation by the time we would arrive. My trip was supposed to be 4 days so by the time of arrival I had to return in less than two days. They advised us to cancel the flight and promised to refund our flight tickets as well as the expenses for our accommodation since it was to late to cancel our booking. I filed a claim online based on their instruction.  The customer relation phone number is disconnected. In fact the automatic voice mail says “please don’t chase a call”! The website link they refer to for tracking the claim has an auto message that the link dose not exist. After 1.5 months stressful attempt to connect with customer relations they finally responded by email to tell me that we are not going to receive any refund from them. 
927,"✅ Trip Verified |  Gatwick to Barbados. We flew out of Gatwick on the 6th December and back on the 17th Dec. It started well in the newish 1st Class lounge at the South terminal. However, the walk to the gate is miles. It has to be almost 1/2 mile walk which is a joke to be honest. The North terminal, where this flight used to operate from is not only a shorter walk for this flight, the decor and layout is much, much better. I'd guess BA got offered a cheaper deal to move to the S.T. My first impression was how badly the ""new"" 1st Class is holding up. There are scuff marks everywhere. Surface scratches. Bobbles of wear on the seat fabric. It's probably under 5 years of use but looks more like 10. In the WC there are small cracks in the plastic walls and brown stains. Needs a paint job at least. The motley flowers (That BA removed some years ago to save costs, but re-instated) are there. They looked like they had been pinched from a graveyard. Much has been said about the seat being ""an up market business class"" - and this is true. It is not a true 1st Class in the sense of what Emirates and Singapore Airlines offer. (I have flown both in 1st). The food is also business class quality. More casual dining rather than fine dining. Taking one meal; it starts with an Amuse Bouche. One motley round mozzarella bit of cheese. One tomato. One bit of green stuff. One straggly piece of prosciutto ham. Total cost about 30p. Outstanding! I then had prosciutto wrapped asparagus with garlic aioli and parmesan. Totally, utterly boring. My wife had the soup which she said was nice. I then had jerk Chicken dish. It was just about okay. The glassware and chinaware was okay. The cutlery was poor quality, the stuff you'd expect in Pizza Express, except the stuff in Pizza Express is better. I accept we are stuck with this 1st product for the next 30 years or so, but there is so much BA could do to improve the ""cheap"" look of their premium product. Quality of presentation, food, champagne, even the menu covers. They trumpet the ""superb"" Laurent Perrier Grand Siecle champagne, which retails at £120 a bottle. Its nice, but we all know this is inferior to what most Airline 1st Class offer in Krug. £20 a bottle more! The alternative to 1st is of course the ghastly ying-yang Club Business Class. The world's most hated Business Class in the sky. I'm a businessman and i know I could run this airline better, from a quality perspective. From a price perspective, if you bundle a 1st Flight as part of a BA holiday, it sort of works out okay-ish. The FAs as always were a very nice bunch of men and women."
928,"✅ Trip Verified |  Moscow to London. Fantastic first class service. The Moscow lounge was surprisingly good, with excellent Runway views. Quick boarding, and I was escorted to my seat by the crew. The new First seats on the 787-9 fleet are a real upgrade from the older product. There's plenty of space, a cupboard and several little storage bins in addition to the overhead bin space. The 23 inch flatscreen IFE screen offered brilliant picture quality and the sound quality was excellent thanks to the noise cancelling headphones. The dinner menu was extensive and the food fantastic, the best airline meal I've had. Drinks were constantly topped up from boarding to arrival. The crew were very attentive and friendly with it. A fantastic experience, and I'll look forward to my next opportunity to fly in this cabin."
929,"✅ Trip Verified |  Johannesburg to London . For supper I asked for warm / hot water to make milky drink as I don't drink tea or coffee for health reasons. Given with no problems. For breakfast I requested the same and I was refused. I explained I don't drink tea or coffee but milk and water."" We don't keep hot water, I can get it once we have finished serving all other customers"". That never came until the lady had to be called to take care of the unwell passenger. I kept my sugar, milk and stirring stick and asked another male cabin crew who was collecting trays after breakfast for the warm water, explaining I have been waiting. He said he will bring it in 5 seconds and he never came back. I felt like a nuisance, deliberately ignored and couldnt bother anyone and the flight started being bumpy in preparation for landing."
